               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  64,            0.033256,            0.028371,                   0,             0.77351,             0.75007,             0.81528,             0.55977,            0.025096,            0.011565,                   0,           0.0068815,           0.0068815,           0.0068815
                  65,             0.03321,             0.02866,                   0,             0.77629,             0.74995,              0.8167,             0.56125,            0.025054,            0.011538,                   0,            0.006832,            0.006832,            0.006832
                  66,             0.03282,            0.028338,                   0,             0.77603,             0.75252,             0.81793,             0.56247,            0.025015,            0.011512,                   0,           0.0067825,           0.0067825,           0.0067825
                  67,            0.032883,            0.028047,                   0,             0.77653,             0.75353,             0.81909,              0.5637,            0.024977,            0.011487,                   0,            0.006733,            0.006733,            0.006733
                  68,            0.032496,            0.027978,                   0,             0.77781,             0.75549,             0.82043,             0.56509,            0.024936,            0.011457,                   0,           0.0066835,           0.0066835,           0.0066835
                  69,            0.032523,            0.028159,                   0,             0.77858,             0.75729,             0.82183,             0.56609,            0.024898,            0.011427,                   0,            0.006634,            0.006634,            0.006634
                  70,            0.032486,            0.027782,                   0,             0.78109,             0.75739,             0.82321,             0.56731,            0.024857,            0.011397,                   0,           0.0065845,           0.0065845,           0.0065845
                  71,            0.032443,              0.0277,                   0,              0.7832,              0.7573,             0.82458,             0.56847,            0.024815,             0.01137,                   0,            0.006535,            0.006535,            0.006535
                  72,            0.032426,            0.027863,                   0,             0.78433,             0.75885,             0.82598,              0.5698,            0.024774,            0.011342,                   0,           0.0064855,           0.0064855,           0.0064855
                  73,            0.032264,            0.027678,                   0,             0.78328,             0.76227,             0.82746,             0.57132,            0.024734,            0.011314,                   0,            0.006436,            0.006436,            0.006436
                  74,            0.032465,             0.02782,                   0,             0.78446,             0.76394,             0.82867,             0.57269,            0.024691,            0.011287,                   0,           0.0063865,           0.0063865,           0.0063865
                  75,            0.032186,            0.027644,                   0,             0.78583,             0.76527,             0.83015,             0.57396,            0.024646,            0.011258,                   0,            0.006337,            0.006337,            0.006337
                  76,            0.032279,            0.027704,                   0,             0.78643,             0.76767,             0.83163,              0.5753,            0.024601,            0.011228,                   0,           0.0062875,           0.0062875,           0.0062875
                  77,            0.032132,            0.027703,                   0,             0.78778,             0.76862,             0.83287,             0.57659,            0.024558,            0.011199,                   0,            0.006238,            0.006238,            0.006238
                  78,            0.031713,            0.027378,                   0,             0.78851,             0.77063,              0.8342,             0.57794,            0.024511,            0.011167,                   0,           0.0061885,           0.0061885,           0.0061885
                  79,            0.031976,            0.027328,                   0,             0.79015,             0.77186,             0.83571,             0.57947,            0.024465,            0.011135,                   0,            0.006139,            0.006139,            0.006139
                  80,            0.031745,            0.027269,                   0,             0.79322,             0.77184,              0.8371,             0.58083,            0.024418,            0.011103,                   0,           0.0060895,           0.0060895,           0.0060895
                  81,            0.031641,            0.027256,                   0,             0.79376,             0.77369,             0.83843,             0.58213,            0.024371,            0.011074,                   0,             0.00604,             0.00604,             0.00604
                  82,            0.031956,            0.027088,                   0,             0.79499,             0.77526,             0.83999,             0.58344,            0.024328,            0.011043,                   0,           0.0059905,           0.0059905,           0.0059905
                  83,            0.031597,             0.02697,                   0,             0.79619,             0.77713,             0.84155,             0.58492,            0.024279,             0.01101,                   0,            0.005941,            0.005941,            0.005941
                  84,            0.031526,            0.026751,                   0,             0.79847,             0.77747,             0.84325,             0.58632,            0.024231,            0.010974,                   0,           0.0058915,           0.0058915,           0.0058915
                  85,            0.031556,            0.026887,                   0,             0.79899,              0.7792,             0.84461,             0.58772,            0.024186,            0.010941,                   0,            0.005842,            0.005842,            0.005842
                  86,            0.031247,            0.026897,                   0,             0.80074,             0.78033,             0.84618,             0.58922,            0.024139,            0.010907,                   0,           0.0057925,           0.0057925,           0.0057925
                  87,            0.031614,            0.026791,                   0,             0.80099,             0.78296,             0.84772,             0.59066,            0.024095,            0.010876,                   0,            0.005743,            0.005743,            0.005743
                  88,            0.031287,            0.027027,                   0,             0.80297,             0.78341,             0.84906,             0.59214,            0.024047,            0.010843,                   0,           0.0056935,           0.0056935,           0.0056935
                  89,            0.031161,            0.026834,                   0,              0.8044,              0.7846,             0.85054,             0.59355,            0.024001,             0.01081,                   0,            0.005644,            0.005644,            0.005644
                  90,            0.031262,            0.026732,                   0,             0.80387,             0.78808,              0.8521,             0.59516,            0.023953,            0.010776,                   0,           0.0055945,           0.0055945,           0.0055945
                  91,            0.031361,            0.026478,                   0,             0.80553,             0.78923,             0.85365,             0.59662,            0.023903,            0.010738,                   0,            0.005545,            0.005545,            0.005545
                  92,            0.031012,            0.026697,                   0,             0.80701,             0.79033,             0.85522,             0.59829,            0.023854,            0.010703,                   0,           0.0054955,           0.0054955,           0.0054955
                  93,            0.030871,              0.0264,                   0,             0.80838,             0.79184,              0.8568,             0.59979,            0.023806,            0.010667,                   0,            0.005446,            0.005446,            0.005446
                  94,            0.030664,            0.026327,                   0,             0.80967,              0.7937,             0.85842,             0.60144,            0.023757,            0.010629,                   0,           0.0053965,           0.0053965,           0.0053965
                  95,            0.030736,            0.026583,                   0,             0.81132,              0.7943,             0.85987,             0.60293,             0.02371,            0.010595,                   0,            0.005347,            0.005347,            0.005347
                  96,            0.030859,            0.026153,                   0,             0.81364,             0.79546,             0.86137,             0.60436,            0.023661,            0.010561,                   0,           0.0052975,           0.0052975,           0.0052975
                  97,            0.030762,            0.026426,                   0,             0.81457,             0.79723,             0.86284,             0.60601,             0.02361,            0.010527,                   0,            0.005248,            0.005248,            0.005248
                  98,            0.030656,            0.026191,                   0,             0.81515,             0.79943,             0.86444,             0.60753,            0.023561,             0.01049,                   0,           0.0051985,           0.0051985,           0.0051985
                  99,            0.030713,            0.026299,                   0,             0.81823,             0.79976,             0.86586,             0.60908,             0.02351,            0.010456,                   0,            0.005149,            0.005149,            0.005149
                 100,            0.030715,            0.026067,                   0,             0.81955,              0.8015,             0.86748,             0.61056,            0.023459,             0.01042,                   0,           0.0050995,           0.0050995,           0.0050995
                 101,            0.030299,            0.025979,                   0,             0.82107,             0.80249,             0.86898,             0.61223,            0.023403,            0.010385,                   0,             0.00505,             0.00505,             0.00505
                 102,             0.03012,            0.025789,                   0,             0.82247,             0.80381,             0.87058,             0.61384,            0.023349,            0.010347,                   0,           0.0050005,           0.0050005,           0.0050005
                 103,             0.03033,            0.025694,                   0,             0.82452,             0.80482,             0.87214,             0.61547,            0.023294,            0.010311,                   0,            0.004951,            0.004951,            0.004951
                 104,             0.03043,            0.025809,                   0,             0.82643,             0.80663,             0.87358,             0.61694,            0.023244,            0.010278,                   0,           0.0049015,           0.0049015,           0.0049015
                 105,            0.030037,            0.025425,                   0,             0.82729,             0.80841,             0.87492,             0.61848,            0.023193,            0.010242,                   0,            0.004852,            0.004852,            0.004852
                 106,            0.030177,            0.025538,                   0,             0.82886,             0.81005,             0.87619,             0.61986,             0.02314,            0.010209,                   0,           0.0048025,           0.0048025,           0.0048025
                 107,            0.030184,            0.025864,                   0,             0.83021,             0.81122,             0.87767,             0.62155,            0.023085,            0.010172,                   0,            0.004753,            0.004753,            0.004753
                 108,            0.030121,            0.025514,                   0,             0.83156,             0.81365,              0.8794,             0.62324,             0.02303,            0.010134,                   0,           0.0047035,           0.0047035,           0.0047035
                 109,            0.029859,            0.025578,                   0,             0.83231,             0.81602,             0.88104,             0.62486,            0.022977,            0.010098,                   0,            0.004654,            0.004654,            0.004654
                 110,            0.029737,            0.025103,                   0,             0.83401,              0.8171,             0.88271,             0.62637,            0.022926,            0.010063,                   0,           0.0046045,           0.0046045,           0.0046045
                 111,            0.029658,            0.025203,                   0,             0.83518,             0.81838,             0.88408,             0.62792,            0.022874,            0.010028,                   0,            0.004555,            0.004555,            0.004555
                 112,             0.02973,            0.025465,                   0,              0.8366,             0.82007,             0.88563,             0.62949,            0.022822,           0.0099941,                   0,           0.0045055,           0.0045055,           0.0045055
                 113,            0.030023,            0.025267,                   0,             0.83805,             0.82177,             0.88699,             0.63125,            0.022769,           0.0099576,                   0,            0.004456,            0.004456,            0.004456
                 114,            0.029599,            0.024796,                   0,                0.84,             0.82291,             0.88838,             0.63298,            0.022715,           0.0099215,                   0,           0.0044065,           0.0044065,           0.0044065
                 115,            0.029538,            0.025251,                   0,             0.84087,             0.82451,             0.88968,             0.63446,             0.02266,            0.009887,                   0,            0.004357,            0.004357,            0.004357
                 116,             0.02954,            0.024963,                   0,             0.84159,             0.82604,             0.89111,             0.63617,            0.022605,           0.0098523,                   0,           0.0043075,           0.0043075,           0.0043075
                 117,            0.029348,             0.02478,                   0,             0.84222,             0.82822,             0.89254,             0.63771,            0.022555,            0.009817,                   0,            0.004258,            0.004258,            0.004258
                 118,            0.029156,            0.024947,                   0,             0.84356,             0.82999,             0.89408,             0.63941,            0.022502,           0.0097805,                   0,           0.0042085,           0.0042085,           0.0042085
                 119,            0.029358,            0.024488,                   0,             0.84466,             0.83225,              0.8956,             0.64099,            0.022448,           0.0097439,                   0,            0.004159,            0.004159,            0.004159
                 120,            0.029299,            0.024773,                   0,             0.84475,             0.83486,             0.89705,             0.64269,            0.022393,           0.0097056,                   0,           0.0041095,           0.0041095,           0.0041095
                 121,            0.029407,            0.024572,                   0,             0.84739,             0.83516,             0.89842,             0.64442,            0.022338,           0.0096696,                   0,             0.00406,             0.00406,             0.00406
                 122,             0.02905,            0.024642,                   0,             0.84806,             0.83749,             0.89996,             0.64613,            0.022281,            0.009632,                   0,           0.0040105,           0.0040105,           0.0040105
                 123,            0.028974,            0.024656,                   0,             0.84948,              0.8388,             0.90138,             0.64795,            0.022226,            0.009595,                   0,            0.003961,            0.003961,            0.003961
                 124,            0.028922,            0.024193,                   0,             0.85106,              0.8408,             0.90292,             0.64953,            0.022172,           0.0095572,                   0,           0.0039115,           0.0039115,           0.0039115
                 125,             0.02847,            0.024206,                   0,             0.85283,             0.84222,             0.90443,             0.65114,            0.022117,           0.0095212,                   0,            0.003862,            0.003862,            0.003862
                 126,            0.028787,            0.024746,                   0,             0.85512,             0.84248,             0.90574,             0.65263,            0.022064,           0.0094875,                   0,           0.0038125,           0.0038125,           0.0038125
                 127,            0.028572,            0.024577,                   0,             0.85647,             0.84405,             0.90711,             0.65439,            0.022008,           0.0094513,                   0,            0.003763,            0.003763,            0.003763
                 128,            0.028601,            0.024292,                   0,             0.85806,             0.84461,             0.90835,             0.65591,            0.021953,           0.0094168,                   0,           0.0037135,           0.0037135,           0.0037135
                 129,            0.028802,            0.024129,                   0,             0.85951,             0.84609,             0.90968,             0.65751,            0.021898,           0.0093827,                   0,            0.003664,            0.003664,            0.003664
                 130,            0.028456,            0.024123,                   0,             0.86145,             0.84685,               0.911,             0.65904,            0.021843,           0.0093467,                   0,           0.0036145,           0.0036145,           0.0036145
                 131,            0.028476,            0.024018,                   0,             0.86075,             0.85015,             0.91212,              0.6606,            0.021789,           0.0093134,                   0,            0.003565,            0.003565,            0.003565
                 132,            0.028336,            0.024152,                   0,             0.86245,             0.85227,             0.91347,             0.66228,            0.021734,           0.0092778,                   0,           0.0035155,           0.0035155,           0.0035155
                 133,            0.028338,            0.023915,                   0,             0.86306,             0.85398,             0.91477,             0.66404,            0.021676,           0.0092428,                   0,            0.003466,            0.003466,            0.003466
                 134,            0.028053,            0.023767,                   0,             0.86635,             0.85387,             0.91612,             0.66567,            0.021621,           0.0092077,                   0,           0.0034165,           0.0034165,           0.0034165
                 135,            0.028227,            0.023616,                   0,             0.86721,             0.85571,              0.9173,             0.66724,            0.021567,           0.0091718,                   0,            0.003367,            0.003367,            0.003367
                 136,            0.028043,            0.023611,                   0,             0.86893,             0.85763,             0.91876,             0.66882,            0.021514,           0.0091354,                   0,           0.0033175,           0.0033175,           0.0033175
                 137,            0.028146,            0.023631,                   0,             0.87074,             0.85857,             0.92004,              0.6704,             0.02146,           0.0090998,                   0,            0.003268,            0.003268,            0.003268
                 138,            0.027838,            0.023265,                   0,              0.8713,             0.86024,             0.92116,             0.67185,            0.021408,           0.0090664,                   0,           0.0032185,           0.0032185,           0.0032185
                 139,            0.028164,            0.023579,                   0,             0.87245,             0.86171,             0.92245,             0.67338,            0.021355,           0.0090324,                   0,            0.003169,            0.003169,            0.003169
                 140,            0.027723,            0.023343,                   0,             0.87401,             0.86324,             0.92372,             0.67502,            0.021299,           0.0089976,                   0,           0.0031195,           0.0031195,           0.0031195
                 141,            0.027636,            0.023347,                   0,             0.87491,             0.86558,              0.9249,             0.67665,            0.021247,           0.0089632,                   0,             0.00307,             0.00307,             0.00307
                 142,            0.027781,            0.023208,                   0,             0.87579,             0.86712,             0.92605,             0.67811,            0.021193,           0.0089289,                   0,           0.0030205,           0.0030205,           0.0030205
                 143,            0.027641,            0.023227,                   0,             0.87728,             0.86814,             0.92721,             0.67974,            0.021142,           0.0088932,                   0,            0.002971,            0.002971,            0.002971
                 144,            0.027188,            0.022856,                   0,             0.87915,             0.86962,             0.92849,             0.68133,            0.021089,           0.0088586,                   0,           0.0029215,           0.0029215,           0.0029215
                 145,            0.027442,            0.023086,                   0,             0.88081,             0.87105,             0.92966,             0.68298,            0.021036,           0.0088239,                   0,            0.002872,            0.002872,            0.002872
                 146,            0.027198,            0.022984,                   0,             0.88187,             0.87235,             0.93055,             0.68442,            0.020984,           0.0087911,                   0,           0.0028225,           0.0028225,           0.0028225
                 147,            0.027111,            0.022698,                   0,             0.88292,             0.87417,             0.93177,             0.68593,            0.020934,           0.0087585,                   0,            0.002773,            0.002773,            0.002773
                 148,            0.027345,            0.022792,                   0,             0.88436,             0.87581,             0.93279,             0.68707,            0.020881,           0.0087248,                   0,           0.0027235,           0.0027235,           0.0027235
                 149,            0.027481,             0.02273,                   0,             0.88622,              0.8762,              0.9339,             0.68886,            0.020827,           0.0086906,                   0,            0.002674,            0.002674,            0.002674
                 150,            0.027086,            0.022514,                   0,             0.88727,             0.87776,             0.93485,             0.69032,            0.020775,           0.0086582,                   0,           0.0026245,           0.0026245,           0.0026245
                 151,              0.0269,            0.022493,                   0,             0.88773,             0.88004,             0.93599,               0.692,            0.020721,           0.0086243,                   0,            0.002575,            0.002575,            0.002575
                 152,            0.027034,            0.022578,                   0,             0.88902,             0.88075,             0.93699,             0.69343,            0.020667,           0.0085914,                   0,           0.0025255,           0.0025255,           0.0025255
                 153,            0.026902,            0.022395,                   0,             0.89112,              0.8815,             0.93802,             0.69491,            0.020613,            0.008559,                   0,            0.002476,            0.002476,            0.002476
                 154,            0.026892,            0.022392,                   0,             0.89212,             0.88295,             0.93912,             0.69635,             0.02056,           0.0085256,                   0,           0.0024265,           0.0024265,           0.0024265
                 155,            0.026668,            0.022428,                   0,             0.89355,             0.88398,             0.94013,              0.6977,            0.020506,           0.0084924,                   0,            0.002377,            0.002377,            0.002377
                 156,            0.026773,            0.022162,                   0,              0.8946,              0.8851,             0.94104,             0.69901,            0.020453,           0.0084591,                   0,           0.0023275,           0.0023275,           0.0023275
                 157,            0.026546,             0.02206,                   0,              0.8961,             0.88655,             0.94221,             0.70057,            0.020399,           0.0084255,                   0,            0.002278,            0.002278,            0.002278
                 158,            0.026554,            0.022161,                   0,             0.89783,             0.88773,             0.94328,             0.70206,            0.020347,           0.0083929,                   0,           0.0022285,           0.0022285,           0.0022285
                 159,            0.026319,            0.021974,                   0,             0.89901,             0.88881,             0.94406,             0.70338,            0.020294,           0.0083606,                   0,            0.002179,            0.002179,            0.002179
                 160,            0.026275,            0.021961,                   0,             0.89955,              0.8903,             0.94484,             0.70468,             0.02024,           0.0083286,                   0,           0.0021295,           0.0021295,           0.0021295
                 161,            0.026247,            0.021856,                   0,             0.90105,              0.8914,             0.94568,             0.70598,            0.020186,           0.0082953,                   0,             0.00208,             0.00208,             0.00208
                 162,            0.025938,            0.021779,                   0,             0.90249,             0.89185,              0.9465,             0.70753,            0.020133,           0.0082614,                   0,           0.0020305,           0.0020305,           0.0020305
                 163,            0.026177,            0.021779,                   0,             0.90263,             0.89327,             0.94742,             0.70869,            0.020081,           0.0082302,                   0,            0.001981,            0.001981,            0.001981
                 164,            0.026197,            0.021593,                   0,             0.90279,             0.89565,              0.9482,             0.70987,            0.020029,           0.0081983,                   0,           0.0019315,           0.0019315,           0.0019315
                 165,            0.025879,            0.021406,                   0,             0.90242,             0.89769,             0.94901,             0.71142,            0.019978,           0.0081669,                   0,            0.001882,            0.001882,            0.001882
                 166,            0.025866,            0.021458,                   0,             0.90442,             0.89775,             0.94982,             0.71259,            0.019929,           0.0081364,                   0,           0.0018325,           0.0018325,           0.0018325
                 167,            0.025827,             0.02118,                   0,             0.90563,             0.89856,             0.95064,             0.71417,            0.019878,           0.0081058,                   0,            0.001783,            0.001783,            0.001783
                 168,            0.025623,            0.020979,                   0,             0.90754,             0.89924,             0.95145,             0.71527,            0.019827,           0.0080741,                   0,           0.0017335,           0.0017335,           0.0017335
                 169,            0.025565,            0.021368,                   0,             0.90777,             0.90142,             0.95239,              0.7166,            0.019776,           0.0080427,                   0,            0.001684,            0.001684,            0.001684
